submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,avg_age,spend,spend_on_equipment
KMB4kk,25-34 years old,1,"At the office, At home","Cold brew, Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Other",Moka pot,"Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cappuccino,Tea,"Milk, dairy alternative, or coffee creamer, No - just black",Salt,"Skim milk, Soy milk","Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey",Chocolatey,Medium,Light,Full caffeine,3.0,1.0,4.0,2.0,"fermented, juicy fruit type",4.0,1.0,5.0,"chocolate, smooth, richer, fuller",3.0,3.0,4.0,more balanced slight fruit and chocolate flavor. sort of acid but not in a bad way,1.0,5.0,1.0,"fruity, harsh and jangly",Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,"It tastes good, I need the caffeine",I don't,Yes,No,$6-$8,12.5,Yes,$20-$50,Yes,Female,Transgender Female,Doctorate or professional degree,Asian/Pacific Islander,mixed,Employed full-time,3,Democrat,29.5,70.0,35.0
42N0Kd,18-24 years old,2,"At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso)","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Tea,"Milk, dairy alternative, or coffee creamer, Flavor syrup",Salt,Whole milk,"Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey",Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,3.0,"A is a too acidic for me, good mouth feel and not very bitter.",3.0,1.0,5.0,"Very well rounded, full tasting. Has a good texture with nothing being too overwhelming",3.0,2.0,4.0,"Another well rounded one, less full than b feels a bit lighter in the mouth. Still a very good one",3.0,4.0,1.0,"Something strange, super fruity/berry notes. Too acidic and fruity for me.",Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,"It tastes good, I need the caffeine, I need the ritual",I don't,Yes,Yes,$10-$15,12.5,No,$300-$500,Yes,Male,Transgender Female,Some college or associate's degree,White/Caucasian,mixed,Employed full-time,3,Independent,21.0,70.0,400.0
0Ej0VZ,25-34 years old,1,At home,"French press, Cold brew","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Tea,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Salt,"Almond milk, Skim milk, Whole milk","Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey",Sweet,Medium,Medium,Full caffeine,6.0,2.0,3.0,4.0,"Fruity, sharp, caramel",2.0,2.0,3.0,"Smooth, slightly fruity (apple or white grape)",4.0,2.0,2.0,"Bland, very slightly fruity (berry), grainy",1.0,4.0,4.0,"Sweet, yogurty, smooth, fruity, reminds me of kefir",Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,"I need the caffeine, It tastes good",I don't,Yes,No,$6-$8,9.0,Yes,$20-$50,Yes,Female,Transgender Female,Some college or associate's degree,White/Caucasian,mixed,Employed part-time,3,Democrat,29.5,20.0,35.0
rlrQQo,35-44 years old,1,"At home, On the go, At a cafe",Instant coffee,"Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Tea,"Milk, dairy alternative, or coffee creamer",Salt,Oat milk,Maple Syrup,Nutty,Somewhat strong,Dark,Half caff,7.0,2.0,3.0,3.0,Tastes a bit vegetal to me,3.0,2.0,3.0,reminiscent of diner coffee,3.0,1.0,4.0,Very mellow/smooth- more character than coffee B,2.0,4.0,1.0,"Reminds me of taste of sour cherries/raspberries, almost herbal/medicinal",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",I don't,Yes,No,$8-$10,7.0,Yes,Less than $20,Yes,Female,Transgender Female,Master's degree,Other (please specify),mixed,Employed full-time,3,Democrat,39.5,30.0,20.0
vNx84X,35-44 years old,2,At home,Espresso,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Espresso,Tea,"No - just black, Milk, dairy alternative, or coffee creamer",Salt,Whole milk,Maple Syrup,Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,Pleasant and mild acidity,3.0,1.0,4.0,"Fuller texture, chocolatey, better when cooled off for a bit",2.0,3.0,4.0,"Balanced, unobtrusive, less character though",2.0,5.0,2.0,Fermented!,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,It tastes good,I don't,Yes,Yes,$10-$15,17.5,No,"More than $1,000",No,Male,Transgender Female,Doctorate or professional degree,Asian/Pacific Islander,Mixed,Employed full-time,3,Democrat,39.5,50.0,1000.0
OABxLk,25-34 years old,1,"At a cafe, At home","Pour over, Espresso","Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,Tea,No - just black,Salt,Whole milk,Maple Syrup,Fruity,Medium,Light,Full caffeine,8.0,1.0,4.0,5.0,"Love this coffee. Natural process maybe? Fruity, juicy, citrussy, light to medium body",5.0,1.0,1.0,I hate it. It's like a French roast. Very heavy body,4.0,2.0,2.0,"I don't enjoy it. It's a traditional dark coffee, medium to heavy body",2.0,4.0,4.0,"A nice, modern cup of fruity coffee. Very light body",Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,It tastes good,I don't,Yes,Yes,$15-$20,20.0,Yes,"More than $1,000",Yes,Male,Transgender Female,Master's degree,White/Caucasian,Mixed,Student,1,Independent,29.5,70.0,1000.0
MAd2V0,25-34 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Tea,No - just black,Salt,Whole milk,Maple Syrup,Bold,Somewhat strong,Dark,Full caffeine,4.0,3.0,4.0,3.0,"Love this coffee. Natural process maybe? Fruity, juicy, citrussy, light to medium body",3.0,2.0,5.0,"Caramel, chocolate, berries",3.0,1.0,4.0,"Bitter, earthy",3.0,5.0,1.0,"Stone fruit, kiwi",Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,It tastes good,I don't,Yes,No,$6-$8,9.0,No,Less than $20,Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Mixed,Employed full-time,1,No affiliation,29.5,20.0,20.0
8dpbGk,25-34 years old,2,"At home, At a cafe","Pour over, Espresso, French press","Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Espresso,Tea,No - just black,Salt,Whole milk,Maple Syrup,Floral,Medium,Nordic,Full caffeine,8.0,1.0,4.0,4.0,"Apple, stewed cherry",2.0,3.0,3.0,"Caramel, chocolate, berries",4.0,1.0,2.0,"Bitter, earthy",1.0,3.0,3.0,"Stone fruit, kiwi",Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",I don't,Yes,Yes,$15-$20,17.5,Yes,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Mixed,Employed full-time,1,Democrat,29.5,90.0,1000.0
zKQ8ja,25-34 years old,1,"At the office, At home",Espresso,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Tea,"Milk, dairy alternative, or coffee creamer, No - just black",Salt,Whole milk,Maple Syrup,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,4.0,Somewhat fruity.,5.0,1.0,4.0,Very coffee.,2.0,3.0,3.0,Doesn't really make a statement about anything.,1.0,5.0,4.0,"Very fruity, raspberry. Probably a natural or maybe even a more involved processing method.",Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the ritual",I don't,Yes,Yes,$6-$8,7.0,No,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,Other (please specify),Mixed,Employed full-time,1,Democrat,29.5,30.0,1000.0
YZzBLJ,35-44 years old,1,At home,Cold brew,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cold brew,Tea,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Salt,"Whole milk, Flavored coffee creamer",Maple Syrup,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,2.0,4.0,1.0,Somewhat fruity.,3.0,3.0,3.0,"Rounder flavor, more balanced",3.0,2.0,3.0,A bit more present but less pleasant,2.0,4.0,2.0,Unpleasantly sharp,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,I need the caffeine,I don't,No,No,$8-$10,9.0,Yes,$50-$100,Yes,Female,Transgender Female,Bachelor's degree,White/Caucasian,White and Hispanic,Employed full-time,1,Democrat,39.5,70.0,75.0
QABNdl,25-34 years old,3,At home,"Pour over, French press, Espresso","Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cortado,Tea,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",Salt,Whole milk,"Artificial Sweeteners (e.g., Splenda)",Chocolatey,Medium,Medium,Full caffeine,5.0,3.0,3.0,2.0,High tannins,3.0,2.0,4.0,"Rounder flavor, more balanced",4.0,1.0,3.0,A bit more present but less pleasant,1.0,5.0,1.0,Unpleasantly sharp,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",I don't,Yes,Yes,$6-$8,12.5,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,White/Caucasian,White and Hispanic,Employed full-time,1,Independent,29.5,50.0,750.0
8dpbko,25-34 years old,2,At home,Espresso,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Espresso,Tea,No - just black,Salt,"Whole milk, Flavored coffee creamer, Oat milk","Granulated Sugar, Raw Sugar (Turbinado)",Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,"Fruity, raspberry, citrus, stone fruit, caramel, nutty",1.0,5.0,5.0,"Berries, blueberry, blackberry, strawberry, grape",4.0,1.0,2.0,"Roast, earthy, ashy, coffee, some sweet, fruit, leather, some red fruit, dark chocolate",5.0,2.0,3.0,"Leather, caramel, tropical, chocolate, ashy",Coffee B,Coffee A,Coffee B,I primarily work from home,>$100,"It tastes good, I need the ritual",I don't,Yes,Yes,$10-$15,20.0,Yes,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,White and Hispanic,Employed full-time,1,Independent,29.5,100.0,1000.0
XeB6Ee,25-34 years old,4,"At home, At the office",Bean-to-cup machine,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Americano,Tea,No - just black,Salt,"Whole milk, Flavored coffee creamer, Oat milk","Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Very strong,Light,Full caffeine,6.0,3.0,5.0,5.0,"Coconut, very sweet, treacle/caramel",4.0,1.0,2.0,"Nutty, soupy, chicory",3.0,2.0,1.0,"Lightest, no real sense",2.0,3.0,4.0,"Syrupy, cinnamon, apple cider",Coffee A,Coffee A,Coffee A,I primarily work in person,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",I don't,Yes,Yes,$15-$20,17.5,Yes,"More than $1,000",Yes,Male,Transgender Female,Doctorate or professional degree,White/Caucasian,White and Hispanic,Employed full-time,1,Democrat,29.5,90.0,1000.0
KMBroK,25-34 years old, 1,"At home, On the go",Pour over,"Mokapot, aeropress","National chain (e.g. Starbucks, Dunkin)","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Tea,"Milk, dairy alternative, or coffee creamer",Salt,"Whole milk, Flavored coffee creamer, Oat milk","Granulated Sugar, Raw Sugar (Turbinado)",Caramalized,Weak,Medium,Decaf,1.0,4.0,4.0,2.0,Fruity,2.0,1.0,5.0,Dunkin donuts,5.0,2.0,1.0,Chocolate,3.0,5.0,4.0,Fruity,Coffee B,Coffee D,Coffee B,I do a mix of both,<$20,It tastes good,I don't,No,No,$6-$8,7.0,No,Less than $20,Yes,Female,Transgender Female,Master's degree,White/Caucasian,White and Hispanic,Employed full-time,2,No affiliation,29.5,20.0,20.0
24x9rg,35-44 years old,1,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cortado,Tea,No - just black,Salt,Whole milk,"Granulated Sugar, Raw Sugar (Turbinado)",Fruity,Somewhat strong,Light,Half caff,6.0,4.0,4.0,4.0,Caramel,4.0,3.0,3.0,"Rabbi and full bodied, reminds me of sweet apple with bitter skin",2.0,2.0,2.0,Chocolate,5.0,4.0,5.0,Fruity,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the caffeine, I need the ritual, It tastes good",I don't,Yes,Yes,$4-$6,5.0,Yes,$300-$500,Yes,Male,Transgender Female,Doctorate or professional degree,White/Caucasian,White and Hispanic,Employed full-time,2,No affiliation,39.5,30.0,400.0
dY2JjD,25-34 years old,2,"At the office, At home","Pour over, Espresso","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Tea,"No - just black, Milk, dairy alternative, or coffee creamer",Salt,Whole milk,"Granulated Sugar, Raw Sugar (Turbinado)",Fruity,Medium,Light,Full caffeine,8.0,3.0,4.0,4.0,"Warm and deep chocolate, ripe stone fruits, full texture mouthfeel",4.0,3.0,3.0,"Rabbi and full bodied, reminds me of sweet apple with bitter skin",4.0,1.0,2.0,"Earthy, vegetal, wheat",2.0,5.0,5.0,"Bright sweet and sour pear, orange and grapefruit.",Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,I need the ritual,I don't,Yes,Yes,$6-$8,9.0,No,$300-$500,Yes,Male,Transgender Female,Master's degree,White/Caucasian,White and Hispanic,Employed full-time,1,Democrat,29.5,30.0,400.0
LdMjyz,18-24 years old,1,At home,"Pour over, Coffee extract (e.g. Cometeer)","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Tea,No - just black,Salt,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Fruity,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,3.0,Nutty.,3.0,2.0,5.0,Almond?,4.0,1.0,4.0,Chocolate?? Floral,2.0,4.0,5.0,Blueberry. Powerful,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$15-$20,20.0,Yes,$500-$1000,Yes,Male,Transgender Female,High school graduate,White/Caucasian,White and Hispanic,Employed full-time,More than 3,No affiliation,21.0,30.0,750.0
9dJYM1,55-64 years old,4,"At home, At the office, On the go, At a cafe","Espresso, French press, Pour over","Mokapot, aeropress","Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Americano,Tea,No - just black,Salt,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Bright,Medium,French,Full caffeine,7.0,4.0,2.0,1.0,2am cq duty in the army. Old folders. Slow death.,3.0,3.0,3.0,"Black tea, walnut",3.0,2.0,4.0,"Root veggies, oats, granola",1.0,3.0,5.0,"Fruity, cherry",Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",I don't,Yes,Yes,$8-$10,12.5,Yes,$300-$500,Yes,Male,Transgender Female,Some college or associate's degree,White/Caucasian,White and Hispanic,Employed full-time,More than 3,Republican,59.5,50.0,400.0
kYR4rj,25-34 years old,2,"At home, At the office, At a cafe, On the go","Espresso, Pour over, French press","Mokapot, aeropress",Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Americano,Tea,No - just black,Salt,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,2.0,Earthy,3.0,2.0,3.0,Earthy,3.0,2.0,4.0,Earthy,4.0,4.0,1.0,Very fruity,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"I need the ritual, It tastes good",I don't,Yes,Yes,$4-$6,9.0,Yes,$50-$100,Yes,Male,Transgender Female,Bachelor's degree,Other (please specify),White and Hispanic,Employed full-time,2,Republican,29.5,30.0,75.0
pLPN7q,35-44 years old,1,"At home, At a cafe","Pour over, Espresso, French press, Cold brew, Other","Mokapot, aeropress",Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Tea,No - just black,Salt,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,Honey; slight fruitiness,3.0,2.0,2.0,Chocolaty,3.0,2.0,2.0,Nutty; lemon grass,1.0,4.0,5.0,Very fruity; strawberry,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,I don't,Yes,Yes,More than $20,20.0,Yes,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,Asian/Pacific Islander,Korean,Employed full-time,2,Democrat,39.5,50.0,1000.0
6dQ0eO,25-34 years old, 1,"At the office, At home","Espresso, Cold brew",Clever,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cold brew,Tea,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Salt,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Somewhat strong,Medium,Full caffeine,3.0,1.0,4.0,3.0,A bit fruity.,3.0,2.0,4.0,Tastes more like what I think of as coffee. No particular fruity or earthy flavors.,2.0,2.0,3.0,A little earthy.,1.0,4.0,1.0,Very strong fermented fruit kind of flavor.,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,It tastes good,I don't,Yes,No,$10-$15,12.5,Yes,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Korean,Employed full-time,2,Democrat,29.5,20.0,1000.0
42NlLd,25-34 years old,2,"At home, At a cafe",Coffee brewing machine (e.g. Mr. Coffee),Clever,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Tea,No - just black,Salt,Half and half,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Caramalized,Medium,Medium,Full caffeine,4.0,1.0,1.0,3.0,"Fairly mild it seemed compared to the rest. Liked it, would drink it again or a lot, but nothing crazy significant pulling me back.",2.0,2.0,5.0,This was a good balance of flavor without being too bitter,5.0,3.0,4.0,"Good flavor, more bitter than I’d normally go for. A but more complex flavor here. Would drink again but not every day.",3.0,5.0,3.0,"Complex, fruity, maybe too much though. Again- not an everyday but I didn’t hate it.",Coffee B,Coffee A,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",I don't,Yes,Yes,$6-$8,7.0,Yes,$500-$1000,Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Korean,Employed full-time,2,Independent,29.5,30.0,750.0
LdMxaj,25-34 years old,2,"At home, At a cafe","Pour over, Other",Clever,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cortado,Tea,No - just black,Salt,Half and half,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Fruity,Somewhat strong,Medium,Full caffeine,6.0,1.0,4.0,5.0,"Fairly mild it seemed compared to the rest. Liked it, would drink it again or a lot, but nothing crazy significant pulling me back.",3.0,1.0,3.0,Papery,4.0,3.0,1.0,"Muddy, one note roasted, lacking complexity.",3.0,3.0,4.0,"Fruit - berries, strawberries, hint of fermented funk.",Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the ritual",I don't,Yes,Yes,$8-$10,20.0,Yes,$500-$1000,Yes,Male,Transgender Female,Master's degree,White/Caucasian,Korean,Employed full-time,2,Independent,29.5,70.0,750.0
BGbJZ4,35-44 years old,2,At home,"Bean-to-cup machine, Pour over",Moka pot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cortado,Tea,"No - just black, Milk, dairy alternative, or coffee creamer",Salt,Half and half,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Fruity,Medium,Blonde,Half caff,8.0,1.0,2.0,5.0,"Cereal Grains, light roasted peanuts, hint of dried apricots",3.0,2.0,3.0,Well done toast. Hints of cocoa powder.,3.0,2.0,2.0,"Muddy, one note roasted, lacking complexity.",2.0,3.0,4.0,"Fruit - berries, strawberries, hint of fermented funk.",Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",I don't,Yes,Yes,More than $20,20.0,No,"More than $1,000",Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Korean,Employed full-time,2,No affiliation,39.5,70.0,1000.0
J2kER7,55-64 years old,2,"At home, At the office","French press, Coffee brewing machine (e.g. Mr. Coffee), Other",Moka pot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Tea,"Milk, dairy alternative, or coffee creamer",Salt,Whole milk,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Full Bodied,Very strong,Dark,Full caffeine,7.0,1.0,3.0,1.0,Sour tasting,3.0,2.0,3.0,"Very smooth tasting, best of the 4",2.0,2.0,2.0,chocolate,3.0,4.0,2.0,apple,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",I don't,Yes,Yes,$8-$10,9.0,Yes,$100-$300,Yes,Male,Transgender Female,Master's degree,White/Caucasian,Korean,Employed full-time,2,Independent,59.5,30.0,200.0
eBxgQO,25-34 years old, 1,None of these,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",Aeropress,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Blended drink (e.g. Frappuccino),Tea,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, Flavor syrup",Salt,"Whole milk, Half and half, Coffee creamer","Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Sweet,Weak,Italian,Decaf,1.0,1.0,5.0,5.0,Sour tasting,3.0,4.0,4.0,soft smooth,4.0,4.0,2.0,chocolate,1.0,5.0,5.0,apple,Coffee A,Coffee D,Coffee A,I do a mix of both,<$20,Other,I don't,No,No,More than $20,20.0,No,$100-$300,Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Korean,Employed full-time,2,Democrat,29.5,20.0,200.0
J2kELz,25-34 years old,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",Aeropress,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Mocha,Tea,"No - just black, Sugar or sweetener",Salt,Whole milk,Granulated Sugar,Bright,Somewhat strong,Medium,Full caffeine,5.0,3.0,4.0,1.0,red berry,1.0,1.0,4.0,soft smooth,3.0,2.0,3.0,chocolate,1.0,3.0,4.0,apple,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,It tastes good,"Comforting, warmth",Yes,Yes,$6-$8,7.0,No,$100-$300,Yes,Non-binary,Transgender Female,High school graduate,White/Caucasian,Korean,Employed part-time,2,No affiliation,29.5,30.0,200.0
LdMjqJ,35-44 years old, 4,On the go,Coffee brewing machine (e.g. Mr. Coffee),Aeropress,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,Tea,"Milk, dairy alternative, or coffee creamer",Salt,Whole milk,Raw Sugar (Turbinado),Nutty,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,Dates and Candy. Pizza.,2.0,1.0,4.0,"solid, chocolatey",3.0,3.0,3.0,"good, but not terribly interesting.",1.0,4.0,5.0,"love this coffee, but someone had it right in the chat-- the friend you love seeing at a party but would hate to be your roommate. Drinking a cup of this black on a cool day would be novel and wonderful, but this will never be a daily driver.",Coffee B,Coffee A,Coffee A,I primarily work in person,>$100,"It tastes good, I need the caffeine, I need the ritual","Comforting, warmth",Yes,Yes,More than $20,12.5,Yes,$500-$1000,Yes,Male,Transgender Female,Doctorate or professional degree,White/Caucasian,Korean,Employed full-time,2,Democrat,39.5,100.0,750.0
oAVNeM,45-54 years old,3,At home,Coffee brewing machine (e.g. Mr. Coffee),Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Espresso,Tea,No - just black,Salt,Oat milk,Raw Sugar (Turbinado),Bright,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,4.0,Fruit,4.0,3.0,3.0,Chocolate,3.0,3.0,4.0,Plum red fruit,3.0,5.0,2.0,"Berries, berries, berries",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine","Comforting, warmth",Yes,Yes,$10-$15,12.5,Yes,$50-$100,Yes,Male,Transgender Female,Bachelor's degree,White/Caucasian,Korean,Employed full-time,2,Democrat,49.5,30.0,75.0
oAVZ95,35-44 years old,2,"At home, At the office","Pour over, Espresso, Cold brew",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Tea,No - just black,Salt,Oat milk,Raw Sugar (Turbinado),Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,3.0,"Pear, a thick mouthfeel.",3.0,1.0,2.0,Chocolate,4.0,2.0,4.0,Toasted nuts or crackers,1.0,5.0,5.0,"Berries, berries, berries",Coffee C,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the ritual","Comforting, warmth",Yes,Yes,$8-$10,5.0,Yes,$500-$1000,Yes,Male,Transgender Female,Some college or associate's degree,White/Caucasian,Korean,Employed full-time,2,Democrat,39.5,50.0,750.0
